Name,Type,County,pop_2020,pop_2010
Fairfax,Town,Marin,"7,605","7,441"
Fairfield,City,Solano,"119,881","105,321"
Farmersville,City,Tulare,"10,397","10,588"
Ferndale,City,Humboldt,"1,398","1,371"
Fillmore,City,Ventura,"16,419","15,002"
Firebaugh,City,Fresno,"8,096","7,549"
Folsom,City,Sacramento,"80,454","72,203"
Fontana,City,San Bernardino,"208,393","196,069"
Fort Bragg,City,Mendocino,"6,983","7,273"
Fort Jones,City,Siskiyou,695,839
Fortuna,City,Humboldt,"12,516","11,926"
Foster City,City,San Mateo,"33,805","30,567"
Fountain Valley,City,Orange,"57,047","55,313"
Fowler,City,Fresno,"6,700","5,570"
Fremont,City,Alameda,"230,504","214,089"
Fresno,City,Fresno,"542,107","494,665"
Fullerton,City,Orange,"143,617","135,161"
Galt,City,Sacramento,"25,383","23,647"
Garden Grove,City,Orange,"171,949","170,883"
Gardena,City,Los Angeles,"61,027","58,829"
Gilroy,City,Santa Clara,"59,520","48,821"
Glendale,City,Los Angeles,"196,543","191,719"
Glendora,City,Los Angeles,"52,558","50,073"
Goleta,City,Santa Barbara,"32,690","29,888"
Gonzales,City,Monterey,"8,647","8,187"
Grand Terrace,City,San Bernardino,"13,150","12,040"
Grass Valley,City,Nevada,"14,016","12,860"
Greenfield,City,Monterey,"18,937","16,330"
Gridley,City,Butte,"7,421","6,584"
Grover Beach,City,San Luis Obispo,"12,701","13,156"
Guadalupe,City,Santa Barbara,"8,057","7,080"
Gustine,City,Merced,"6,110","5,520"
Half Moon Bay,City,San Mateo,"11,795","11,324"
Hanford,City,Kings,"57,990","53,967"
Hawaiian Gardens,City,Los Angeles,"14,149","14,254"
Hawthorne,City,Los Angeles,"88,083","84,293"
Hayward,City,Alameda,"162,954","144,186"
Healdsburg,City,Sonoma,"11,340","11,254"
Hemet,City,Riverside,"89,833","78,657"
Hercules,City,Contra Costa,"26,016","24,060"
Hermosa Beach,City,Los Angeles,"19,728","19,506"
Hesperia,City,San Bernardino,"99,818","90,173"
Hidden Hills,City,Los Angeles,"1,725","1,856"
Highland,City,San Bernardino,"56,999","53,104"
Hillsborough,Town,San Mateo,"11,387","10,825"
Hollister,City,San Benito,"41,678","34,928"
Holtville,City,Imperial,"5,605","5,939"
Hughson,City,Stanislaus,"7,481","6,640"
Huntington Beach,City,Orange,"198,711","189,992"
Huntington Park,City,Los Angeles,"54,883","58,114"
Huron,City,Fresno,"6,206","6,754"
Imperial,City,Imperial,"20,263","14,758"
Imperial Beach,City,San Diego,"26,137","26,324"
Indian Wells,City,Riverside,"4,757","4,958"
Indio,City,Riverside,"89,137","76,036"
Industry,City,Los Angeles,264,219
Inglewood,City,Los Angeles,"107,762","109,673"
Ione,City,Amador,"5,141","7,918"
Irvine,City,Orange,"307,670","212,375"
Irwindale,City,Los Angeles,"1,472","1,422"
Isleton,City,Sacramento,794,804
Jackson,City,Amador,"5,019","4,651"
Jurupa Valley,City,Riverside[10],"105,053","95,004"
Kerman,City,Fresno,"16,016","13,544"
King City,City,Monterey,"13,332","12,874"
Kingsburg,City,Fresno,"12,380","11,382"
La Cañada Flintridge,City,Los Angeles,"20,573","20,246"
La Habra,City,Orange,"63,097","60,239"
La Habra Heights,City,Los Angeles,"5,682","5,325"
La Mesa,City,San Diego,"61,121","57,065"
La Mirada,City,Los Angeles,"48,008","48,527"
La Palma,City,Orange,"15,581","15,568"
La Puente,City,Los Angeles,"38,062","39,816"
La Quinta,City,Riverside,"37,558","37,467"
La Verne,City,Los Angeles,"31,334","31,063"
Lafayette,City,Contra Costa,"25,391","23,893"
Laguna Beach,City,Orange,"23,032","22,723"
Laguna Hills,City,Orange,"31,374","30,344"
Laguna Niguel,City,Orange,"64,355","62,979"
Laguna Woods,City,Orange,"17,644","16,192"
Lake Elsinore,City,Riverside,"70,265","51,821"
Lake Forest,City,Orange,"85,858","77,264"
Lakeport,City,Lake,"5,026","4,753"
Lakewood,City,Los Angeles,"82,496","80,048"
Lancaster,City,Los Angeles,"173,516","156,633"
Larkspur,City,Marin,"13,064","11,926"
Lathrop,City,San Joaquin,"28,701","18,023"
Lawndale,City,Los Angeles,"31,807","32,769"
Lemon Grove,City,San Diego,"27,627","25,320"
Lemoore,City,Kings,"27,038","24,531"
Lincoln,City,Placer,"49,757","42,819"
Lindsay,City,Tulare,"12,659","11,768"
Live Oak,City,Sutter,"9,106","8,392"
Livermore,City,Alameda,"87,955","80,968"
Livingston,City,Merced,"14,172","13,058"
Lodi,City,San Joaquin,"66,348","62,134"
